candidate_id,tile_id,mask_index,label,note,selection_rule,bbox_xyxy,local_bbox_xyxy,tile_box_xyxy,area,sam_score
0,r0_c4,404,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[954,0,965,5]","[101,0,112,5]","[853,0,1067,171]",39,0.8917014598846436
1,r0_c0,154,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[46,2,55,8]","[46,2,55,8]","[0,0,213,171]",37,0.9493024349212646
2,r0_c0,188,uncertain,,target_split36_tile_local_area_in_clean_q25_q75,"[29,4,38,10]","[29,4,38,10]","[0,0,213,171]",40,0.9416748285293579
3,r0_c4,44,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[946,7,953,14]","[93,7,100,14]","[853,0,1067,171]",39,0.9717400670051575
4,r0_c3,206,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[771,11,780,18]","[131,11,140,18]","[640,0,853,171]",50,0.9460507035255432
5,r0_c1,241,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[251,15,259,23]","[38,15,46,23]","[213,0,427,171]",49,0.9293279647827148
6,r0_c4,322,uncertain,,target_split36_tile_local_area_in_clean_q25_q75,"[1020,20,1027,27]","[167,20,174,27]","[853,0,1067,171]",37,0.9241076707839966
7,r0_c1,140,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[276,23,283,30]","[63,23,70,30]","[213,0,427,171]",39,0.9517564177513123
8,r0_c3,176,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[829,25,836,33]","[189,25,196,33]","[640,0,853,171]",38,0.9521828293800354
9,r0_c0,147,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[34,29,41,37]","[34,29,41,37]","[0,0,213,171]",46,0.9512521028518677
10,r0_c2,76,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[444,31,451,39]","[17,31,24,39]","[427,0,640,171]",42,0.9684690237045288
11,r0_c2,114,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[592,35,599,42]","[165,35,172,42]","[427,0,640,171]",43,0.9625363945960999
12,r0_c2,30,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[514,38,521,45]","[87,38,94,45]","[427,0,640,171]",38,0.9753317832946777
13,r0_c3,285,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[837,41,844,48]","[197,41,204,48]","[640,0,853,171]",40,0.9300380349159241
14,r0_c2,28,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[509,43,516,50]","[82,43,89,50]","[427,0,640,171]",41,0.9760048389434814
15,r0_c5,114,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1195,45,1202,52]","[128,45,135,52]","[1067,0,1280,171]",39,0.9615668654441833
16,r0_c1,128,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[261,49,268,56]","[48,49,55,56]","[213,0,427,171]",41,0.9530362486839294
17,r0_c4,4,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[881,49,888,57]","[28,49,35,57]","[853,0,1067,171]",45,0.9829229712486267
18,r0_c3,238,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[710,53,717,60]","[70,53,77,60]","[640,0,853,171]",37,0.9407389163970947
19,r0_c0,115,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[78,56,86,62]","[78,56,86,62]","[0,0,213,171]",38,0.9560494422912598
20,r0_c1,62,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[329,57,336,65]","[116,57,123,65]","[213,0,427,171]",41,0.9655911922454834
21,r0_c4,112,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[1033,60,1040,67]","[180,60,187,67]","[853,0,1067,171]",40,0.9630423784255981
22,r0_c3,147,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[772,62,780,70]","[132,62,140,70]","[640,0,853,171]",48,0.9562388062477112
23,r0_c1,36,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[345,67,352,75]","[132,67,139,75]","[213,0,427,171]",45,0.9719709753990173
24,r0_c5,295,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1141,71,1148,79]","[74,71,81,79]","[1067,0,1280,171]",44,0.9292088747024536
25,r0_c5,94,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1137,75,1143,84]","[70,75,76,84]","[1067,0,1280,171]",42,0.9645616412162781
26,r0_c1,69,shadow_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[388,78,396,86]","[175,78,183,86]","[213,0,427,171]",46,0.9641076922416687
27,r0_c5,347,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[1174,80,1181,88]","[107,80,114,88]","[1067,0,1280,171]",48,0.9122654795646667
28,r0_c0,242,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[110,85,118,92]","[110,85,118,92]","[0,0,213,171]",44,0.930124819278717
29,r0_c3,282,interference,,target_split36_tile_local_area_in_clean_q25_q75,"[699,87,707,94]","[59,87,67,94]","[640,0,853,171]",46,0.9309152364730835
30,r0_c2,194,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[587,90,593,98]","[160,90,166,98]","[427,0,640,171]",40,0.9486889243125916
31,r0_c2,165,real_ball,,target_split36_tile_local_area_in_clean_q25_q75,"[580,92,587,100]","[153,92,160,100]","[427,0,640,171]",41,0.9541394710540771
